Time,forward,right,left_speed,right_speed
962376952,0,0,0.2794734,-0.22781353
1202814072,0,0,0,0
1202812204,0,0,0,0
1202817812,0,0,0,0
1202814072,0,0,0,0
1202819684,0,0,0,0
1202825292,0,0,0,0
1202830904,56,56,0,0
1202836512,56,56,0,0
1202842124,56,56,0,0
1202847732,56,56,0,0
1202853344,56,56,0,0
1202858952,56,56,0,0
1202864564,56,56,0,0
1202870172,56,56,0,0
1202875784,56,56,0,0
1202881392,56,56,0,0
1202887004,56,56,0,0
1202892612,56,56,0,0
1202898224,56,56,0,0
1202903832,56,56,0,0
1202909444,56,56,0,0
1202915052,56,56,0,0
1202920664,56,56,0,0
1202926272,56,56,0,0
1202931884,56,56,0,0
1202937492,56,56,0,0
1202943104,56,56,0,0
1202948712,56,56,0,0
1202954324,56,56,0,0
1202959932,56,56,0,0
1202965544,56,56,0,0
1202971152,56,56,0,0
1202976764,56,56,0,0
1202982372,56,56,0,0
1202987984,56,56,0,0
1202993592,56,56,0,0
1202999204,56,56,0,0
1203004812,56,56,0,0
1203010424,56,56,0,0
1203016032,56,56,0,0
1203021644,56,56,0,0
1203027252,56,56,0,0
1203032864,56,56,0,0
1203038472,56,56,0,0
1203044084,56,56,0,0
1203049692,56,56,0,0
1203055304,56,56,0,0
1203060912,56,56,0,0
1203066524,56,56,0,0
1203072132,56,56,0,0
1203077744,56,56,0,0
1203083352,56,56,0,0
1203088964,56,56,0,0
1203094572,56,56,0,0
1203100184,56,56,0,0
1203105800,56,56,0,0
1203111404,56,56,0,0
1203117012,56,56,0,0
1203122624,56,56,0,0
1203128232,56,56,0,0
1203133844,56,56,0,0
1203139452,56,56,0,0
1203145064,56,56,0,0
1203150672,56,56,0,0
1203156284,56,56,0,0
1203161892,56,56,0,0
1203167504,56,56,0,0
1203173112,56,56,0,0
1203178724,56,56,0,0
1203184332,56,56,0,0
1203189944,56,56,0,0
1203195552,56,56,0,0
1203201164,56,56,0,0
1203206772,56,56,0,0
1203212384,56,56,0,0
1203217992,56,56,0,0
1203223604,56,56,0,0
1203229212,56,56,0,0
1203234828,56,56,0,0
1203240432,56,56,0,0
1203246044,56,56,0,0
1203251652,56,56,0,0
1203257264,56,56,0,0
1203262872,56,56,0,0
1203268484,56,56,0,0
1203274092,56,56,0,0
1203279704,56,56,0,0
1203285312,56,56,0,0
1203290924,56,56,0,0
1203296532,56,56,0,0
1203302144,56,56,0,0
1203307752,56,56,0,0
1203313364,56,56,0,0
1203318972,56,56,0,0
1203324584,56,56,0,0
1203330192,56,56,0,0
1203335804,56,56,0,0
1203341412,56,56,0,0
1203347024,56,56,0,0
1203352632,56,56,0,0
1203358244,56,56,0,0
1203363860,56,56,0,0
1203369464,56,56,0,0
1203375072,56,56,0,0
1203380684,56,56,0,0
1203386292,56,56,0,0
1203391904,56,56,0,0
1203397512,56,56,0,0
1203403124,56,56,0,0
1203408732,56,56,0,0
1203414344,56,56,0,0
1203419952,56,56,0,0
1203425564,56,56,0,0
1203431172,56,56,0,0
1203436784,56,56,0,0
1203442392,56,56,0,0
1203448004,56,56,0,0
1203453612,56,56,0,0
1203459224,56,56,0,0
1203464832,56,56,0,0
1203470444,56,56,0,0
1203476052,56,56,0,0
1203481664,56,56,0,0
1203487272,56,56,0,0
1203492884,56,56,0,0
1203498492,56,56,0,0
1203504104,56,56,0,0
1203509712,56,56,0,0
1203515324,56,56,0,0
1203520932,56,56,0,0
1203526544,56,56,0,0
1203532152,56,56,0,0
1203537764,56,56,0,0
1203543372,56,56,0,0
1203548984,56,56,0,0
1203554592,56,56,0,0
1203560204,56,56,0,0
1203565812,56,56,0,0
1203571424,56,56,0,0
1203577032,56,56,0,0
1203582644,56,56,0,0
1203588252,56,56,0,0
1203593864,56,56,0,0
1203599472,56,56,0,0
1203605084,56,56,0,0
1203610692,56,56,0,0
1203616304,56,56,0,0
1203621912,56,56,0,0
1203627524,56,56,0,0
1203633132,56,56,0,0
1203638744,56,56,0,0
1203644352,56,56,0,0
1203649964,56,56,0,0
1203655572,56,56,0,0
1203661184,56,56,0,0
1203666792,56,56,0,0
1203672404,56,56,0,0
1203678012,56,56,0,0
1203683624,56,56,0,0
1203689232,56,56,0,0
1203694844,56,56,0,0
1203700452,56,56,0,0
1203706064,56,56,0,0
1203711672,56,56,0,0
1203717284,56,56,0,0
1203722892,56,56,0,0
1203728504,56,56,0,0
1203734112,56,56,0,0
1203739724,56,56,0,0
1203745332,56,56,0,0
1203750944,56,56,0,0
1203756552,56,56,0,0
1203762164,56,56,0,0
1203767772,56,56,0,0
1203773384,56,56,0,0
1203778992,56,56,0,0
1203784604,56,56,0,0
1203790212,56,56,0,0
1203795824,56,56,0,0
1203801432,56,56,0,0
1203807044,56,56,0,0
1203812652,56,56,0,0
1203818264,56,56,0,0
1203823872,56,56,0,0
1203829484,56,56,0,0
1203835092,56,56,0,0
1203840704,56,56,0,0
1203846312,56,56,0,0
1203851924,56,56,0,0
1203857532,56,56,0,0
1203863144,56,56,0,0
1203868752,56,56,0,0
1203874364,56,56,0,0
1203879972,56,56,0,0
1203885584,56,56,0,0
1203891192,56,56,0,0
1203896804,56,56,0,0
1203902412,56,56,0,0
1203908024,56,56,0,0
1203913632,56,56,0,0
1203919244,56,56,0,0
1203924852,56,56,0,0
1203930464,56,56,0,0
1203936072,56,56,0,0
1203941684,56,56,0,0
1203947292,56,56,0,0
1203952904,56,56,0,0
1203958512,56,56,0,0
1203964124,56,56,0,0
1203969732,56,56,0,0
1203975344,56,56,0,0
1203980952,56,56,0,0
1203986564,56,56,0,0
1203992172,56,56,0,0
1203997784,56,56,0,0
1204003392,56,56,0,0
1204009004,56,56,0,0
1204014612,56,56,0,0
1204020228,56,56,0,0
1204025832,56,56,0,0
1204031444,56,56,0,0
1204037052,56,56,0,0
1204042664,56,56,0,0
1204048272,56,56,0,0
1204053884,56,56,0,0
1204059492,56,56,0,0
1204065104,56,56,0,0
1204070712,56,56,0,0
1204076324,56,56,0,0
1204081932,56,56,0,0
1204087544,56,56,0,0
1204093152,56,56,0,0
1204098764,56,56,0,0
1204104372,56,56,0,0
