Time,forward,right,left_speed,right_speed
959300888,0,0,1.28188,-0.5525967
959306504,0,0,-2.185156,4.916601
959312108,0,0,-2.737294,4.9271293
959317716,56,56,-2.1882734,4.9236145
959323328,56,56,-1.6400352,4.9201055
959328936,56,56,-1.641205,4.9236145
959334548,56,56,-2.733392,4.9201055
959340156,56,56,-1.641205,4.9236145
959345776,56,56,-2.183601,5.459002
959351376,56,56,-2.1913993,4.3827987
959356988,56,56,-2.733392,4.9201055
959362596,56,56,-2.1882734,4.376547
959368212,56,56,-2.185156,4.916601
959373816,56,56,-2.737294,4.9271293
959379428,56,56,-2.1867135,4.373427
959385036,56,56,-2.1882734,4.9236145
959390648,56,56,-2.1867135,4.9201055
959396256,56,56,-2.1882734,4.376547
959401868,56,56,-2.1867135,4.373427
959407476,56,56,-2.1882734,4.9236145
959413088,56,56,-2.1867135,4.9201055
959418696,56,56,-2.7353415,4.376547
959424308,56,56,-2.1867135,4.9201055
959429916,56,56,-2.1882734,4.9236145
959435528,56,56,-2.1867135,4.9201055
959441136,56,56,-2.1882734,4.9236145
959446748,56,56,-2.1867135,4.9201055
959452356,56,56,-2.1882734,4.9236145
959457972,56,56,-2.185156,4.916601
959463576,56,56,-2.189835,3.8322115
959469188,56,56,-2.1867135,2.1867135
959474796,56,56,-2.7353415,4.9236145
959480408,56,56,-2.1867135,4.9201055
959486016,56,56,-2.1882734,4.376547
959491628,56,56,-2.1867135,5.466784
959497236,56,56,-2.1882734,4.9236145
959502848,56,56,-2.1867135,4.9201055
959508456,56,56,-2.1882734,4.9236145
959514068,56,56,-2.1867135,4.9201055
959519676,56,56,-2.7353415,4.9236145
959525288,56,56,-2.1867135,4.9201055
959530908,174,174,-2.183601,4.9131017
959536508,174,174,-1.6435494,4.930649
959542116,174,174,-2.1882734,4.9236145
959547728,174,174,-2.1867135,4.9201055
959553336,174,174,-2.1882734,4.9236145
959558948,174,174,-2.1867135,4.9201055
959564556,174,174,-2.1882734,4.9236145
959570168,174,174,-2.1867135,4.9201055
959575776,174,174,-2.1882734,4.9236145
959581388,174,174,-2.1867135,4.9201055
959586996,174,174,-2.1882734,4.376547
959592608,174,174,-2.1867135,4.9201055
959598216,174,174,-2.7353415,4.376547
959603828,174,174,-2.1867135,4.9201055
959609436,174,174,-2.1882734,4.9236145
959615048,174,174,-2.1867135,4.373427
959620656,174,174,-2.1882734,4.9236145
959626268,174,174,-2.1867135,4.9201055
959631876,174,174,-2.1882734,4.9236145
959637488,174,174,-2.1867135,4.373427
959643096,174,174,-2.1882734,4.376547
959648708,174,174,-2.1867135,3.8267486
959654316,174,174,-2.1882734,4.376547
959659928,174,174,-2.1867135,4.373427
959665536,174,174,-2.1882734,3.8294783
959671148,174,174,-2.1867135,4.373427
959676756,174,174,-1.641205,4.376547
959682368,174,174,-2.1867135,3.8267486
959687976,174,174,-2.1882734,4.376547
959693588,174,174,-2.1867135,3.8267486
959699196,174,174,-2.7353415,4.376547
959704808,174,174,-2.1867135,3.8267486
959710416,174,174,-2.1882734,3.8294783
959716028,174,174,-2.1867135,3.8267486
959721636,174,174,-2.1882734,3.8294783
959727252,174,174,-2.185156,4.370312
959732856,174,174,-1.6423764,3.8322115
959738468,174,174,-2.1867135,3.8267486
959744076,174,174,-2.1882734,3.28241
959749696,174,174,-2.183601,3.8213015
959755296,174,174,-1.6435494,3.834949
959760908,174,174,-2.1867135,3.8267486
959766516,174,174,-1.641205,3.28241
959772128,174,174,-2.1867135,3.2800703
959777736,174,174,-1.641205,3.8294783
959783348,174,174,-2.1867135,3.2800703
959788956,174,174,-1.641205,3.28241
959794568,174,174,-1.6400352,3.8267486
959800176,174,174,-2.1882734,3.28241
959805788,174,174,-2.1867135,3.2800703
959811396,174,174,-2.1882734,3.28241
959817008,174,174,-1.6400352,3.2800703
959822616,174,174,-2.1882734,3.28241
959828228,174,174,-2.1867135,3.2800703
959833836,174,174,-2.1882734,2.7353415
959839448,174,174,-1.6400352,3.2800703
959845056,174,174,-2.1882734,3.28241
959850668,174,174,-2.1867135,2.733392
959856276,174,174,-1.641205,2.7353415
